j,base,n,k_human,sil_human,k_gmm,sil_gmm,k_dbscan,sil_dbscan,k_H_s0,sil_H_s0,ari_H_s0,k_H_s1,sil_H_s1,ari_H_s1,k_H_s2,sil_H_s2,ari_H_s2,k_R_gmm,sil_R_gmm,ari_R_gmm,k_R_dbscan,sil_R_dbscan,ari_R_dbscan,k_R_shuffle,sil_R_shuffle,ari_R_shuffle
14028,6b397277-e2cf-4165-9f1a-32aeef65ebbc,10,3,0.45362051562380457,8,0.36641621587983275,3,0.9210809893518893,3.0,0.24509496703092665,0.27184466019417475,3.0,0.46172462356758925,0.6298472385428907,3.0,0.4223795231533976,0.20681551116333727,6.0,0.32030603743668545,0.25113464447806355,2.0,0.577077725279484,0.3661971830985915,2.0,0.10899660325024056,0.02072538860103628
14032,8845809a-0ba9-4c73-8f4e-d60d62ca8418,30,6,0.3612065253702188,1,,2,0.12888205544791959,3.0,0.30826571742318964,0.3044592776833075,3.0,0.4204843896840505,0.34232998292129796,3.0,0.41493371587219785,0.38416055962691537,9.0,0.18521201210094554,0.35345142662215834,5.0,0.28013621397575567,0.3516279685999139,2.0,0.24045891636060912,0.19081015202377644
14034,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,35,5,0.15804144729204264,1,,3,0.37352842568677297,3.0,0.37940621225896537,0.21395098161646303,3.0,0.37759882516711096,0.24342607191902754,3.0,0.37759882516711096,0.24342607191902754,1.0,,0.0,4.0,0.15631795781227012,0.2754144640336553,2.0,0.22407879161932293,0.16617518951178734
14049,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,25,3,0.3544125357422523,8,0.42427543967368275,4,0.4647149523205244,3.0,0.3544125357422523,1.0,3.0,0.35251985784181117,0.23515296940611874,3.0,0.30451110997640557,0.21060545308740983,8.0,0.27465788093222554,0.3384982121573301,4.0,0.23049416906997386,0.6956928838951311,2.0,0.32581493592369576,0.28984744871120466
14056,37ce66b3-c54a-46ec-981d-96c33e8fba81,15,2,0.2061418776134993,7,0.42048053002816743,2,0.3468107680518694,3.0,0.2851887420664756,0.4731182795698925,3.0,0.34076348780852034,0.23193577163247098,3.0,0.365031638833176,0.09838998211091239,9.0,0.06761125746329429,0.04712041884816753,3.0,0.11889943569469709,0.18933823529411767,2.0,0.2760108259485679,-0.025316455696202576
14074,6b397277-e2cf-4165-9f1a-32aeef65ebbc,10,2,0.577077725279484,8,0.36641621587983275,3,0.9210809893518893,3.0,0.24509496703092665,0.3697478991596639,3.0,0.46172462356758925,0.39893143365983974,3.0,0.4223795231533976,0.39893143365983974,6.0,0.32030603743668545,0.10215482841181164,2.0,0.577077725279484,1.0,2.0,0.10899660325024056,0.09569377990430619
14076,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,20,2,0.452884399486844,8,0.41181654415281255,1,,3.0,0.36864334225392764,0.679379007762403,3.0,0.2878200693145649,0.5088231988310667,3.0,0.23208841146528814,0.4031190396050713,9.0,0.30670707474338443,0.17059161401493395,3.0,0.32801732818643287,0.4041885989472505,2.0,0.27698190887728835,0.20877290394225426
14077,f54baffc-bc26-4c4d-b940-824d08daf230,15,3,0.6443316798728668,8,0.3224844024675161,3,0.6443316798728668,3.0,0.6443316798728668,1.0,3.0,0.6443316798728668,1.0,3.0,0.6443316798728668,1.0,8.0,0.2149217442279081,0.3657331136738057,3.0,0.13416379325191558,0.10506174986954255,2.0,0.22074786696154916,0.30616740088105726
14092,8845809a-0ba9-4c73-8f4e-d60d62ca8418,30,3,0.4188287039500093,1,,2,0.12888205544791959,3.0,0.4161729243783084,0.809734405754137,3.0,0.30687042275473697,0.552051153100079,3.0,0.39922115927478985,0.6240642687602702,7.0,0.10824478406775702,0.23307268885509336,4.0,0.3296748063163466,0.6240563280038637,2.0,0.1811449749448174,0.32864770167681656
14097,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,25,3,0.3281547888821873,8,0.42427543967368275,4,0.4647149523205244,3.0,0.3544125357422523,0.3883031629202307,3.0,0.35251985784181117,0.26079243051448847,3.0,0.30451110997640557,0.4443346833942507,8.0,0.27465788093222554,0.3463302752293578,4.0,0.23049416906997386,0.07407407407407407,2.0,0.32581493592369576,0.5126448893572181
