trial,agent,k,sil
158,dbscan,4,0.3332529741431673
159,human,2,0.2750636449702351
159,gmm,1,
159,dbscan,11,0.5103020154481417
160,human,3,0.09451956850671507
160,gmm,1,
160,dbscan,7,0.25614991394562686
161,human,2,0.2505376065692844
161,gmm,1,
161,dbscan,5,0.25001774478351807
162,human,3,0.13592975838680682
162,gmm,1,
162,dbscan,5,0.3127332228622638
163,human,3,0.05513692784332288
163,gmm,1,
163,dbscan,5,0.19469245700237778
164,human,4,0.07937599920025014
164,gmm,3,0.483838592824444
164,dbscan,10,0.47255255287704134
165,human,6,-0.04616398893964419
165,gmm,1,
165,dbscan,12,0.5132316011450816
166,human,3,0.025651493269810536
166,gmm,8,0.34681609569205735
166,dbscan,1,
167,human,4,0.5341250213734318
167,gmm,8,0.25537479528681467
167,dbscan,4,0.5168514391285018
168,human,3,0.5934788336231392
168,gmm,8,0.33779716799515996
168,dbscan,5,0.4706866209886451
169,human,9,0.3798840891550948
169,gmm,7,0.5473991894604074
169,dbscan,7,0.48655127480442195
170,human,8,-0.14892875940444544
170,gmm,7,0.41383916988116054
170,dbscan,7,0.2968799907871945
171,human,6,0.3212330434284008
171,gmm,8,0.34681609569205735
171,dbscan,1,
172,human,3,0.4475722036872145
172,gmm,8,0.48103562380359066
172,dbscan,8,0.5601012928261464
173,human,9,0.346124134755717
173,gmm,1,
173,dbscan,13,0.4411574452742846
174,human,6,0.22594593866952614
174,gmm,8,0.311294944133682
174,dbscan,4,0.3332529741431673
175,human,3,0.33325867411907845
175,gmm,8,0.2800594536364459
175,dbscan,2,0.028907271545995452
176,human,5,0.12934347030578083
176,gmm,8,0.36901405786813773
176,dbscan,5,0.3761462634265349
177,human,4,-0.03105578219523007
177,gmm,8,0.33216596406146603
177,dbscan,2,0.1676087672262985
178,human,4,0.07547936291117094
178,gmm,2,0.45687190864576444
178,dbscan,10,0.33775231955228074
179,human,5,-0.0290836044771391
179,gmm,1,
179,dbscan,11,0.5103020154481417
180,human,3,0.47040165290885977
180,gmm,8,0.47409783625815766
180,dbscan,5,0.4153336740669677
181,human,3,0.40459694183346523
181,gmm,8,0.46909417482119736
181,dbscan,5,0.35964300447429615
182,human,4,0.5267091713730466
182,gmm,8,0.3224844024675161
182,dbscan,3,0.6443316798728668
183,human,2,0.317164089750999
183,gmm,7,0.42048053002816743
183,dbscan,2,0.3468107680518694
184,human,2,0.24384510850379737
184,gmm,8,0.3892827778810225
184,dbscan,6,0.3749837386128673
185,human,4,0.038268756621720926
185,gmm,1,
185,dbscan,5,0.3127332228622638
186,human,3,0.18510870821762015
186,gmm,8,0.2268396540761116
186,dbscan,1,
187,human,5,-0.04279354248781382
187,gmm,1,
187,dbscan,7,0.15553712996968883
188,human,6,0.5379762929001085
188,gmm,8,0.3618331591602254
188,dbscan,4,0.6361145763694069
189,human,9,-0.05253736148958188
189,gmm,1,
189,dbscan,4,0.31217425023605666
190,human,3,0.4428713030875311
190,gmm,8,0.4497582449614434
190,dbscan,6,0.40489335189054154
191,human,8,0.3293975164497172
191,gmm,2,0.5084190736730574
191,dbscan,10,0.3122080105465206
192,human,5,0.33219689334942787
192,gmm,3,0.483838592824444
192,dbscan,10,0.47255255287704134
193,human,6,0.20979863890037873
193,gmm,1,
193,dbscan,8,0.41936541024204904
194,human,7,0.23796635917483283
194,gmm,8,0.47711887022021243
194,dbscan,3,0.2151765223733977
195,human,4,0.5717892355785582
