j,base,sid,rt,n,ari_H,ari_H0,ari_H1,ari_H2,ari_Rgmm,ari_Rdbscan,ari_Rshuffle,ari_gmm_ref,ari_dbscan_ref,single_within,consensus,sil_human,sil_gmm,sil_dbscan,k_human,k_gmm,k_dbscan
153,e8770f4c-e648-4512-9529-b68de18f7703,exp1/clustering_data_144_1779008203482.json,lasso,30,0.35522674224178946,0.37414165195212873,0.4029355117221226,0.2886030630511171,0.11371574422353571,0.28453947368421056,0.047017189079878674,0.8017677169109465,0.18301158301158302,0.35125444804041955,0.4808725054697341,0.2172703475741466,0.467277586086515,0.6895941852145598,3.0,2.0,9.0
156,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp1/clustering_data_144_1779008203482.json,lasso,35,0.4110685008418242,0.5180756413189314,0.3575649306032706,0.3575649306032706,0.0,0.49991722592229426,0.08037094281298303,0.0,0.7864077669902912,0.49011302965192066,0.7746098287792312,0.12755636788290803,nan,0.37352842568677297,6.0,1.0,3.0
157,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp1/clustering_data_144_1779008203482.json,lasso,25,0.32666666666666666,0.24,0.52,0.22,0.26666666666666666,0.12666666666666668,0.84,0.23333333333333334,0.6843501326259946,0.5238761056426096,0.6866666666666666,0.33023325040895474,0.42427543967368275,0.4647149523205244,2.0,8.0,4.0
182,f54baffc-bc26-4c4d-b940-824d08daf230,exp1/clustering_data_144_1779008203482.json,lasso,15,0.8799451177681226,0.8799451177681226,0.8799451177681226,0.8799451177681226,0.37792329279700654,0.20399724328049618,0.2849254555494202,0.4434050514499532,0.8799451177681226,0.7476069995096993,0.8799451177681226,0.5267091713730466,0.3224844024675161,0.6443316798728668,4.0,8.0,3.0
183,37ce66b3-c54a-46ec-981d-96c33e8fba81,exp1/clustering_data_144_1779008203482.json,lasso,15,0.2250863358030505,0.1557017543859649,0.211105002748763,0.3084522502744237,0.1415830546265329,-0.020518358531317556,0.045801526717557224,0.2801556420233463,-0.05150214592274687,0.16167698202096498,0.3092105263157895,0.317164089750999,0.42048053002816743,0.3468107680518694,2.0,7.0,2.0
195,6b397277-e2cf-4165-9f1a-32aeef65ebbc,exp1/clustering_data_144_1779008203482.json,lasso,10,0.4947078579032346,0.7457627118644068,0.2131557035803497,0.5252051582649473,0.7326732673267327,0.412532637075718,0.0625,0.354066985645933,1.0,0.44627253950285317,0.6475195822454308,0.5717892355785582,0.36641621587983275,0.9210809893518893,4.0,8.0,3.0
200,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,exp1/clustering_data_144_1779008203482.json,lasso,20,0.0870758273955432,-0.07754389791689391,0.2578930237604427,0.08087835634308083,0.02298247455136951,-0.08321455980703867,-0.013220753249638976,0.03807615230460923,0.0,0.051618979517026535,0.08074400602085798,0.04344686105621716,0.41181654415281255,nan,3.0,8.0,1.0
201,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp1/clustering_data_144_1779008203482.json,lasso,35,0.13996753361286876,0.06373416159289125,0.20472615657704965,0.1514422826686654,0.0,0.08503263357727124,0.1415205996731106,0.0,0.2819843342036554,0.14145148254213324,0.16805877763056604,-0.03660561163903446,nan,0.37352842568677297,6.0,1.0,3.0
204,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp1/clustering_data_144_1779008203482.json,lasso,30,0.3209773515676331,0.3538767395626243,0.2110453648915187,0.39800995024875624,0.22875131164742915,0.31771894093686354,0.16058394160583936,0.0,-0.07843137254901955,0.24629148864259326,0.2206477732793522,0.3436853994239446,nan,0.12888205544791959,3.0,1.0,2.0
219,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp1/clustering_data_144_1779008203482.json,lasso,25,0.26873933455978366,0.4361425654353072,0.14155166843587028,0.22852376980817346,-0.024396529507774215,0.0077915753591429335,0.4788459846952239,0.24069116573375518,0.39152480985150306,0.3601654824247796,0.4055573475876687,0.11635719759140997,0.42427543967368275,0.4647149523205244,3.0,8.0,4.0
