exp,sid,person_hash,base_uuid,flipped,unique_uuid,n_points,event_index,total_events,event_progress,action,k,revisions_so_far,elapsed_s,silhouette,delta_silhouette,compactness,confidence,stop,post_action_s
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,17,40,0.425,add,3,7,24.69770000004768,0.5525296965132409,0.1211383419472063,0.8506381986689222,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,18,40,0.45,delete,2,8,26.44929999995232,0.4313913545660346,-0.1211383419472063,0.4747692937164184,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,19,40,0.475,add,3,8,28.25289999985695,0.5525296965132409,0.1211383419472063,0.8506381986689222,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,20,40,0.5,delete,2,9,29.230299999952315,0.4313913545660346,-0.1211383419472063,0.4747692937164184,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,21,40,0.525,add,3,9,29.771,0.5525296965132409,0.1211383419472063,0.8506381986689222,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,22,40,0.55,delete,2,10,31.20929999995232,0.4313913545660346,-0.1211383419472063,0.4747692937164184,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,23,40,0.575,add,3,10,32.34589999985695,0.5525296965132409,0.1211383419472063,0.8506381986689222,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,24,40,0.6,delete,2,11,33.27309999990463,0.4313913545660346,-0.1211383419472063,0.4747692937164184,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,25,40,0.625,add,3,11,33.747399999856945,0.5525296965132409,0.1211383419472063,0.8506381986689222,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,26,40,0.65,delete,2,12,34.64429999995232,0.4313913545660346,-0.1211383419472063,0.4747692937164184,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,27,40,0.675,add,3,12,36.29239999985695,0.4384766679064231,0.0070853133403885,0.7843967339403979,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,28,40,0.7,delete,2,13,37.251,0.4313913545660346,-0.0070853133403885,0.4747692937164184,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,29,40,0.725,add,3,13,37.76239999985695,0.5525296965132409,0.1211383419472063,0.8506381986689222,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,30,40,0.75,add,4,13,38.140200000047685,0.2823941278939335,-0.2701355686193074,0.869172183305424,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,31,40,0.775,add,5,13,42.40379999995232,0.3174817082352893,0.0350875803413558,0.8377587833692788,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,32,40,0.8,add,6,13,44.38809999990463,0.3174817082352893,0.0,0.8377587833692788,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,33,40,0.825,add,7,13,44.82370000004769,0.2502666417998342,-0.067215066435455,0.8637761166546511,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,34,40,0.85,delete,6,14,45.95379999995232,0.3174817082352893,0.067215066435455,0.8377587833692788,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,35,40,0.875,delete,5,15,46.395,0.3174817082352893,0.0,0.8377587833692789,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,36,40,0.9,delete,4,16,46.94620000004768,0.3174817082352893,0.0,0.8377587833692789,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,37,40,0.925,delete,3,17,47.47509999990464,0.4337740339918321,0.1162923257565428,0.726533558928877,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,38,40,0.95,delete,2,18,49.26959999990464,0.4313913545660346,-0.0023826794257975,0.4747692937164184,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,39,40,0.975,add,3,18,52.01439999985695,0.5525296965132409,0.1211383419472063,0.8506381986689222,,0,
exp3,exp3_P001,person_061,d26cc3de-4659-421d-a01c-1b05a01a5457,0,trial_00096,15,40,40,1.0,delete,2,19,52.51429999995232,0.4313913545660346,-0.1211383419472063,0.4747692937164184,,1,2.790200000047684
exp3,exp3_P001,person_061,6b397277-e2cf-4165-9f1a-32aeef65ebbc,0,trial_00051,10,2,2,1.0,add,2,0,2.671899999856949,0.577077725279484,,0.6574798116369965,,1,3.0689000000953675
exp3,exp3_P001,person_061,42d361fa-4736-4e88-983e-5a08e9ba6071,0,trial_00071,20,2,2,1.0,add,2,0,2.0412999999523165,0.1676087672262985,,0.0974243227643575,,1,1.3499000000953674
exp3,exp3_P001,person_061,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,0,trial_00011,20,2,6,0.3333333333333333,add,2,0,3.5044000000953672,0.4084454479355682,,0.5145983067905636,,0,
exp3,exp3_P001,person_061,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,0,trial_00011,20,3,6,0.5,add,3,0,4.573600000143051,0.2939831971784654,-0.1144622507571028,0.6228546410638476,,0,
exp3,exp3_P001,person_061,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,0,trial_00011,20,4,6,0.6666666666666666,delete,2,1,5.1845,0.4084454479355682,0.1144622507571028,0.5145983067905636,,0,
exp3,exp3_P001,person_061,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,0,trial_00011,20,6,6,1.0,add,2,2,6.547900000095368,0.4084454479355682,0.0,0.5145983067905636,,1,4.436
exp3,exp3_P001,person_061,b3697dbc-04ee-4762-a98d-5773cf0c7e84,0,trial_00104,10,2,7,0.2857142857142857,add,2,0,2.0495,0.4742782779195676,,0.5779275938096453,,0,
exp3,exp3_P001,person_061,b3697dbc-04ee-4762-a98d-5773cf0c7e84,0,trial_00104,10,3,7,0.4285714285714285,add,3,0,3.385799999952316,0.6714643707196752,0.1971860928001075,0.930466977050046,,0,
exp3,exp3_P001,person_061,b3697dbc-04ee-4762-a98d-5773cf0c7e84,0,trial_00104,10,4,7,0.5714285714285714,delete,2,1,5.912,0.4742782779195676,-0.1971860928001075,0.5779275938096453,,0,
exp3,exp3_P001,person_061,b3697dbc-04ee-4762-a98d-5773cf0c7e84,0,trial_00104,10,5,7,0.7142857142857143,add,3,1,6.464,0.6714643707196752,0.1971860928001075,0.930466977050046,,0,
exp3,exp3_P001,person_061,b3697dbc-04ee-4762-a98d-5773cf0c7e84,0,trial_00104,10,6,7,0.8571428571428571,delete,2,2,9.004900000095368,0.4742782779195676,-0.1971860928001075,0.5779275938096453,,0,
exp3,exp3_P001,person_061,b3697dbc-04ee-4762-a98d-5773cf0c7e84,0,trial_00104,10,7,7,1.0,add,3,2,9.522599999904632,0.6714643707196752,0.1971860928001075,0.930466977050046,,1,3.192300000190735
