condition,person_hash,n_mid,observed_k,predicted_k,n_oos_predictions
exp4,person_007,22.5,3.3571428571428568,4.237025,20
exp4,person_007,32.5,3.7777777777777777,4.4125375,20
exp4,person_007,40.0,3.8,4.6669625,20
exp4,person_010,12.5,3.818181818181819,3.7507375000000005,20
exp4,person_010,22.5,4.684210526315789,4.2362,20
exp4,person_010,32.5,5.235294117647059,4.4394,20
exp4,person_010,40.0,5.0,4.6780625,20
exp4,person_013,12.5,3.875,3.7743499999999996,20
exp4,person_013,22.5,4.4,4.2092875,20
exp4,person_013,32.5,4.714285714285714,4.4098625,20
exp4,person_013,40.0,4.833333333333333,4.6610375,20
exp4,person_016,12.5,4.5,3.8794125,20
exp4,person_016,22.5,4.625,4.29565,20
exp4,person_016,32.5,4.823529411764706,4.4759125,20
exp4,person_016,40.0,4.8,4.742425,20
exp4,person_017,12.5,2.125,3.8774,20
exp4,person_017,22.5,2.5,4.2646875,20
exp4,person_017,32.5,2.6875,4.45425,20
exp4,person_017,40.0,3.25,4.69045,20
exp4,person_018,12.5,2.888888888888889,3.8846375,20
exp4,person_018,22.5,3.3076923076923075,4.2915125000000005,20
exp4,person_018,32.5,3.3076923076923075,4.464612499999999,20
exp4,person_018,40.0,3.75,4.7081375,20
exp4,person_019,12.5,3.8333333333333335,3.8439500000000004,20
exp4,person_019,22.5,5.2727272727272725,4.2213,20
exp4,person_019,32.5,7.0,4.369975,20
exp4,person_019,40.0,8.6,4.639912499999999,20
exp4,person_020,12.5,3.473684210526316,3.871575,20
exp4,person_020,22.5,3.9375,4.2579875000000005,20
exp4,person_020,32.5,4.0,4.4388375,20
exp4,person_020,40.0,4.4,4.6832375,20
exp4,person_021,12.5,2.1875,3.8570124999999997,20
exp4,person_021,22.5,2.9375,4.2721625,20
exp4,person_021,32.5,3.235294117647059,4.452687500000001,20
exp4,person_021,40.0,3.0,4.68615,20
exp4,person_022,12.5,2.1666666666666665,3.8794125,20
exp4,person_022,22.5,2.7058823529411766,4.28855,20
exp4,person_022,32.5,3.3571428571428568,4.4460125,20
exp4,person_022,40.0,3.5714285714285716,4.6993875,20
exp4,person_026,12.5,2.6666666666666665,3.904725,20
